word|wordRepr|freq
boucle|boucle|162.78606285296812
boucles|boucles|166.86944063625208
boue|boue|369.380604553116
bouffe|bouffe|225.68507213488581
bouffer|bouffer|186.065272073133
bouge|bouge|851.469918613679
bougeait|bougeait|140.750012863291
bouger|bouger|499.396706886729
bougez|bougez|256.681603168665
bougie|bougie|129.549042661857
bougies|bougies|134.88501519719
bougé|bouge|159.51290123898488
boule|boule|320.8496664202017
boules|boules|189.47093750110176
boulevard|boulevard|307.828101394516
bouleversé|bouleverse|103.0445338822609
boulot|boulot|1327.8542995944383
bouquet|bouquet|190.620574794994
bouquin|bouquin|123.334517774758
bouquins|bouquins|102.548706724021
bourgeois|bourgeois|230.0686725763773
bourré|bourre|152.2463020459617
bourse|bourse|157.741981207121
bout|bout|2769.8692374633883
bouteille|bouteille|618.509859504608
bouteilles|bouteilles|266.381206682701
boutique|boutique|319.915814344958
bouton|bouton|235.271751863053
boutons|boutons|187.3214677626096
bouts|bouts|162.486198155236
boxe|boxe|97.46527297118865
boîte|boite|927.212592763138
boîtes|boites|295.851204480026
branche|branche|236.6728172506544
branches|branches|373.37404213215643
bras|bras|3493.06496516159
brave|brave|309.2429943795706
braves|braves|120.94608185207366
bravo|bravo|376.2190160544884
bref|bref|588.4198432987057
brigade|brigade|123.831289712066
brillaient|brillaient|99.1178048626493
brillait|brillait|115.646939700893
brillant|brillant|230.50289223608078
brillante|brillante|124.04028863156083
brillants|brillants|125.7827607272663
brille|brille|131.492035203687
briller|briller|119.717612844637
brin|brin|103.842249731896
brique|brique|100.32036686183486
briques|briques|161.263532257735
briquet|briquet|122.316343490407
brise|brise|170.24992031008838
briser|briser|171.709381693471
brisé|brise|206.5104552851114
britannique|britannique|304.9206381429721
britanniques|britanniques|202.3407574400857
bronze|bronze|133.32276226537422
brosse|brosse|145.3198137574521
brouillard|brouillard|247.7733133066145
bruit|bruit|1666.2914215882615
bruits|bruits|402.766465609377
brume|brume|219.336716156015
brun|brun|188.14277321753588
brune|brune|234.15764914972328
brusque|brusque|161.40419499476477
brusquement|brusquement|636.643817820363
brutal|brutal|113.815472180012
brutalement|brutalement|142.397999038256
brute|brute|121.641912522193
brève|breve|137.29589162622526
brûlait|brulait|117.271355475642
brûlant|brulant|149.3085397102729
brûle|brule|282.762407024713
brûler|bruler|243.278947508444
brûlé|brule|241.0877890549317
bu|bu|537.1007172184928
buffet|buffet|146.757486004258
buissons|buissons|115.130248980069
bureau|bureau|1575.34602709468
bureaux|bureaux|167.045114083645
bus|bus|358.6898636568467
business|business|98.2927325605721
buste|buste|129.448977156131
but|but|836.663829483625
buter|buter|103.932560165737
buvait|buvait|166.858370555702
buvez|buvez|159.467037037066
bye|bye|138.479070981214
bâtard|batard|136.0137889284976
bâtiment|batiment|234.342777323752
bâtiments|batiments|119.161404107104
bâton|baton|189.980394872874
bébé|bebe|1156.21670831621
bébés|bebes|147.357049489998
bénisse|benisse|108.924585065058
bénédiction|benediction|99.1374040958412
béton|beton|118.510728653905
bête|bete|1052.62404940195
bêtes|betes|503.5627408459344
bêtise|betise|159.368957114852
bêtises|betises|212.651728043653
c|c|410.6767165595874
c'|c|282.44896279272
c'est-à-dire|cestadire|284.7350803578983
cabane|cabane|219.568595695804
cabine|cabine|260.686653903529
cabinet|cabinet|270.278932421758
cachait|cachait|151.980337369802
cache|cache|394.4949451799844
cacher|cacher|601.673268659105
cachette|cachette|143.99198129333368
caché|cache|382.5236539915094
cachée|cachee|149.6267270426821
cadavre|cadavre|330.697414083511
cadavres|cadavres|228.319133041344
cadeau|cadeau|719.953591755656
cadeaux|cadeaux|251.391679950049
cadre|cadre|229.80650622156568
café|cafe|1882.9132771430511
cafés|cafes|155.434254286995
cage|cage|282.317321604334
cahier|cahier|137.611187006204
cailloux|cailloux|182.300809812331
caisse|caisse|441.52074977835
caisses|caisses|147.818089462823
calendrier|calendrier|99.8636682856318
calme|calme|2123.151337345142
calmement|calmement|105.17063754041
calmer|calmer|206.384444360984
calmes|calmes|111.14129950229878
calmez|calmez|199.344291827412
camarade|camarade|473.409629287152
camarades|camarades|497.216752949294
came|came|116.057959189977
camion|camion|441.556832767355
camionnette|camionnette|140.433102129397
camions|camions|163.885277959325
camp|camp|997.550975797089
campagne|campagne|786.323686157334
camps|camps|167.974088622947
caméra|camera|253.521581929546
canal|canal|192.91198386903
canapé|canape|195.673536618005
canard|canard|173.588341039308
canards|canards|99.5855543143273
cancer|cancer|171.174738567567
canne|canne|206.05520615309985
canon|canon|292.0754992929959
canons|canons|188.17448333572167
caoutchouc|caoutchouc|116.274600098271
cap|cap|193.172330550054
capable|capable|740.670313895612
capables|capables|155.437331354223
capacité|capacite|97.7776571936625
capitaine|capitaine|1314.01505619229
capital|capital|121.5527319822182
capitale|capitale|238.7691387589046
caporal|caporal|148.036006969632
capote|capote|101.1020966848267
car|car|4040.846705011832
caractère|caractere|354.851932678491
cardiaque|cardiaque|121.33317991641891
caresse|caresse|207.235813105984
caresser|caresser|131.013585901057
caresses|caresses|116.61289132899579
